timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_matched,attribute_filters_enabled,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,result_count,result_count_after_limit
2026-02-10T00:09:23+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_extreme,0.65,10,100,0,494,494,,01c24ec9-0005-07a7-0001-397a0003eb46,,42,42,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:24+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_extreme,0.75,10,100,0,479,479,,01c24ec9-0005-07ef-0001-397a00041266,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:25+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_extreme,0.85,10,100,0,448,448,,01c24ec9-0005-07c5-0001-397a00040726,,52,52,,8e-06,8e-06,,8e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:26+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,no_reranker_balanced,0.3,10,100,0,256,256,,01c24ec9-0005-07f0-0001-397a0003f67e,,36,36,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:27+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,no_reranker_balanced,0.65,10,100,0,260,260,,01c24ec9-0005-07c5-0001-397a0004072a,,36,36,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:28+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,no_reranker_balanced,0.75,10,100,0,228,228,,01c24ec9-0005-07f0-0001-397a0003f682,,33,33,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:29+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,no_reranker_balanced,0.85,10,100,0,219,219,,01c24ec9-0005-07f0-0001-397a0003f686,,32,32,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:30+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,low_latency,0.3,10,100,0,276,276,,01c24ec9-0005-07ef-0001-397a00041282,,45,45,,7e-06,7e-06,,7e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:30+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,low_latency,0.65,10,100,0,266,266,,01c24ec9-0005-07c5-0001-397a00040736,,37,37,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:31+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,low_latency,0.75,10,100,0,246,246,,01c24ec9-0005-07c5-0001-397a0004073a,,36,36,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:32+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,low_latency,0.85,10,100,0,265,265,,01c24ec9-0005-07f0-0001-397a0003f68e,,37,37,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:33+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,reranker_heavy,0.3,10,100,0,506,506,,01c24ec9-0005-07a7-0001-397a0003eb6a,,54,54,,8e-06,8e-06,,8e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:34+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,reranker_heavy,0.65,10,100,0,512,512,,01c24ec9-0005-07c5-0001-397a00040742,,35,35,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:35+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,reranker_heavy,0.75,10,100,0,504,504,,01c24ec9-0005-07f0-0001-397a0003f692,,33,33,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:36+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,reranker_heavy,0.85,10,100,0,498,498,,01c24ec9-0005-07a7-0001-397a0003eb76,,40,40,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:38+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"hidden object cats in a city, without timer, exclude leaderboard, avoid time attack","hidden object cats in a city, without timer, exclude leaderboard, avoid time attack",[],,False,,,,balanced_default,0.3,10,100,0,459,459,,01c24ec9-0005-07ef-0001-397a0004129e,,37,37,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:39+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"hidden object cats in a city, without timer, exclude leaderboard, avoid time attack","hidden object cats in a city, without timer, exclude leaderboard, avoid time attack",[],,False,,,,balanced_default,0.65,10,100,0,413,413,,01c24ec9-0005-07c5-0001-397a0004074e,,35,35,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
